수정일,제목,내용
2026-05-22,전국향토문화유적표준데이터,"보존할 가치가 있다고 지정한 향토문화유적 정보(국가 및 광역시도 등에서 지정한 문화재 제외) *항목명: 향토문화유적명,문화유적지정번호,향토문화유적구분,향토문화유적종류,소재지도로명주소,소재지지번주소,위도,경도,지정일자,소유주체구분,소유자명,규모,조성시대,이미지정보,향토문화유적소개,관리기관전화번호,관리기관명"
2026-05-22,전국안심택배함표준데이터,"범죄예방을 위해 공공장소에 설치된 무인택배함에 대한 정보 *항목명: 시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호"
2026-05-22,전국평생학습강좌표준데이터,"학력보완교육, 성인 문자해득교육, 직업능력 향상교육, 인문교양교육, 문화예술교육, 시민참여교육 등의 평생교육강좌정보(강좌구분 : 온라인/오프라인/혼합/우편통신/모바일 등의 평생교육강좌 모두 포함) *항목명: 강좌명,강사명,교육시작일자,교육종료일자,교육시작시각,교육종료시각,강좌내용,교육대상구분,교육방법구분,운영요일,교육장소,강좌정원수,수강료,교육장도로명주소,운영기관명,운영기관전화번호,접수시작일자,접수종료일자,접수방법구분,선정방법구분,홈페이지주소,직업능력개발훈련비 지원강좌여부,학점은행제평가(학점) 인정여부,평생학습계좌제평가 인정여부"
2026-05-22,전국건강증진센터표준데이터,"건강증진센터에 대한 정보(보건소 관할하의 건강증진센터, 정신건강증진센터(정신보건센터), 정신요양시설, 자살예방센터 등 포함) *항목명: 건강증진센터명,건강증진센터구분,소재지도로명주소,소재지지번주소,위도,경도,건강증진업무내용,운영시작시각,운영종료시각,휴무일정보,건물면적,의사수,간호사수,사회복지사수,영양사수,기타인력현황,기타이용안내,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명"
2026-05-22,전국푸드트럭허가구역표준데이터,"푸드트럭 영업이 가능하도록 지방자치단체가 허가한 푸드트럭허가구역에 대한 정보 *항목명: 허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각 ,1월운영종료시각 ,2월운영시작시각 ,2월운영종료시각 ,3월운영시작시각 ,3월운영종료시각 ,4월운영시작시각 ,4월운영종료시각 ,5월운영시작시각 ,5월운영종료시각 ,6월운영시작시각 ,6월운영종료시각 ,7월운영시작시각 ,7월운영종료시각 ,8월운영시작시각 ,8월운영종료시각 ,9월운영시작시각 ,9월운영종료시각 ,10월운영시작시각 ,10월운영종료시각 ,11월운영시작시각 ,11월운영종료시각 ,12월운영시작시각 ,12월운영종료시각 ,판매제한품목,관리기관명,관리기관전화번호"
2026-03-24,알뜰 장보기 물가정보,■ 상세설명 : 합리적 소비를 위한 농산물 물가정보 제공 및 할인행사 소개 ■ 기타사항 : 주간 단위로 발행되는 인포그래픽 자료를 매월 pdf파일로 제공
2026-03-24,주간 곡물 시황,"■ 상세설명 - 주요 곡물(옥수수, 밀, 대두, 쌀)시장 이슈 및 주요 국가 이슈를 통해 곡물별 선물시장 가격 변동 원인 파악시 활용 ■ 자료형태 : pdf파일"
2026-03-24,중국 곡물 시장 동향,"■ 상세설명 - 중국에서 소비되고 있는 주요 곡물(쌀, 옥수수, 밀, 대두)의 시장동향, 가격전망 및 중국 전체 수급동향 파악시 활용 ■ 자료형태 : pdf파일"
2026-03-24,성수품 제철 농산물 거래정보,"■ 상세설명 : (성수기 정보) 설, 추석 등 명절 제수용품 및 김장철 주요 김장재료 가격 동향 안내, (제철농산물) 제철 맞은 농산물의 가격동향 및 손질/보관법 등 소비정보 소개 ■ 자료형태 : pdf파일"
2026-03-24,전국 공영도매시장 정산자료,"■ 상세설명 - 서울 가락, 부산 반여, 광주 서부 도매시장 등 전국 32개 공영도매시장 소속 도매법인을 통해 거래 및 정산완료된 농축산물의 품목/품종별 반입물량, 경매가격, 산지정보 등 유통자료 ■ 상품 컬럼 정보 - sn:순번 - auc_ymd:경매일자 - whsl_mrkt_code:도매시장코드 - whsl_mrkt_nm:도매시장명 - wmk_corp_code:도매시장안법인코드 - wmk_corp_nm:도매시장안법인명 - pdlt_code:품목코드 - pdlt_nm:품목명 - spcs_code:품종코드 - spcs_nm:품종명 - unit_code:단위코드 - unit_nm:단위명 - pkg_stle_code:포장형태코드 - pkg_stle_nm:포장형태명 - nop_code:포장개수코드 - nop_nm:포장개수명 - mtc_grad_code:산지등급코드 - mtc_grad_nm:산지등급명 - mtc_nm:산지명 - unit_qyt:단위수량 *포장형태 별 갯수 - prce:가격 *포장형태 별 가격 - etl_ldg_dt:ETL적재일시 - kg_unit_cnvr_qyt : KG단위변환수량 *포장형태의 무게 ■ 사용예시 - 총 물량은 KG단위변환 수량에 단위수량을 곱하시면 됩니다. (ex. 2KG짜리 상자를 65개 거래) - 총 금액은 단위수량에 가격을 곱하시면 됩니다. (ex. 65개 상자를 개당 15,500원에 거래)"
